#m	30
#tau	8
#m	o(m)	L(m,1)	L(m,2)	L(m,3)	L(m,4)	L(m,5)	L(m,6)	L(m,7)	L(m,8)
1	0.000001657	0.000000054	0.000000204	0.000000051	0.000000239	0.00000006	0.000000086	0.000000103	0.000000177
64	0.000001657	0.000000355	0.000000513	0.000000584	0.00000063	0.000000615	0.000000582	0.000000678	0.000000651
128	0.000001657	0.000001532	0.000001793	0.000001853	0.000001937	0.000001994	0.000002065	0.000001978	0.000002052
256	0.000001657	0.000001777	0.00000202	0.000002125	0.000002201	0.000002269	0.000002274	0.00000227	0.000002291
512	0.000001657	0.00000203	0.000002318	0.000002473	0.000002573	0.000002621	0.000002635	0.000002673	0.000002738
1024	0.000001657	0.000002965	0.000003318	0.000003384	0.000003628	0.000003505	0.000003643	0.000003685	0.00000374
1536	0.000001657	0.000003642	0.000003925	0.00000421	0.000004286	0.000004269	0.000004489	0.000004615	0.000004607
2048	0.000001657	0.000004378	0.000004707	0.000005081	0.000005152	0.000005141	0.000005363	0.000005639	0.000005737
3072	0.000001657	0.00000482	0.000005216	0.000005561	0.000005617	0.000005826	0.000006119	0.000006853	0.000006856
4096	0.000001657	0.000005744	0.00000619	0.000006713	0.00000685	0.000006709	0.000007284	0.00000813	0.000008587
5120	0.000001657	0.000006219	0.000006812	0.000007113	0.000007461	0.000007327	0.000008349	0.000009143	0.000012361
6144	0.000001657	0.000007152	0.000007878	0.000008282	0.000008572	0.000008577	0.000009646	0.000010801	0.000011999
7168	0.000001657	0.000007649	0.000008422	0.000008689	0.000009177	0.000009395	0.000011	0.000012143	0.000013722
8192	0.000001657	0.00000853	0.000009434	0.00001	0.00001038	0.000010442	0.0000129	0.000013865	0.000014968
16384	0.000001657	0.000011005	0.000015978	0.0000179	0.000020194	0.00002341	0.000026504	0.000029026	0.000030996
32768	0.000001657	0.000016949	0.00002646	0.000030245	0.00003749	0.00004432	0.000047639	0.000050353	0.000055132
49152	0.000001657	0.000020768	0.000035009	0.000043212	0.000047226	0.000058207	0.00006453	0.000073077	0.000078511
65536	0.000001657	0.000026024	0.000044595	0.000057582	0.000062029	0.000066188	0.000085534	0.000095244	0.000101793
98304	0.000001657	0.000037343	0.000065486	0.000088073	0.00011173	0.000134728	0.000140721	0.000145086	0.000157181
131072	0.000001657	0.000045052	0.000082611	0.000113479	0.000136084	0.000142217	0.000149788	0.000163484	0.000181923
196608	0.00000319	0.000066531	0.000123124	0.000172125	0.000207133	0.000236697	0.000226476	0.000243673	0.000266879
262144	0.00000319	0.00008607	0.000161639	0.000230892	0.000285233	0.000321917	0.000306358	0.000326643	0.000357301
393216	0.00000319	0.000126912	0.000240486	0.000346903	0.000441769	0.000516414	0.000512661	0.000493687	0.000532642
524288	0.00000319	0.000168286	0.000319104	0.000466914	0.000602497	0.00071245	0.00073232	0.000696225	0.000722149
786432	0.00000319	0.000247222	0.000476924	0.000701782	0.000914945	0.001107419	0.001238654	0.00120673	0.001133332
1048576	0.00000319	0.00033216	0.000637465	0.000947616	0.001247576	0.001514012	0.001709419	0.001718218	0.001638099
1572864	0.00000319	0.000490489	0.00095884	0.001419959	0.001874252	0.002313677	0.002654103	0.002868657	0.002784443
2097152	0.00000319	0.000661125	0.001278225	0.001891083	0.002512221	0.003068952	0.003584995	0.004010749	0.003961326
3145728	0.00000319	0.000986331	0.001931816	0.002845872	0.003765114	0.00462865	0.005410596	0.00615936	0.006717483
4194304	0.00000319	0.001330006	0.002553693	0.003785896	0.004998561	0.006102017	0.007238011	0.008368013	0.009272314
