L(m.1)	L(m.2)	L(m.3)	L(m.4)	L(m.5)	L(m.6)	L(m.7)	L(m.8)
0.054	0.204	0.051	0.239	0.060	0.086	0.103	0.177
0.355	0.513	0.584	0.630	0.615	0.582	0.678	0.651
1.532	1.793	1.853	1.937	1.994	2.065	1.978	2.052
1.777	2.020	2.125	2.201	2.269	2.274	2.270	2.291
2.030	2.318	2.473	2.573	2.621	2.635	2.673	2.738
2.965	3.318	3.384	3.628	3.505	3.643	3.685	3.740
3.642	3.925	4.210	4.286	4.269	4.489	4.615	4.607
4.378	4.707	5.081	5.152	5.141	5.363	5.639	5.737
4.820	5.216	5.561	5.617	5.826	6.119	6.853	6.856
5.744	6.190	6.713	6.850	6.709	7.284	8.130	8.587
6.219	6.812	7.113	7.461	7.327	8.349	9.143	12.361
7.152	7.878	8.282	8.572	8.577	9.646	10.801	11.999
7.649	8.422	8.689	9.177	9.395	11.000	12.143	13.722
8.530	9.434	10.000	10.380	10.442	12.900	13.865	14.968
11.005	15.978	17.900	20.194	23.410	26.504	29.026	30.996
16.949	26.460	30.245	37.490	44.320	47.639	50.353	55.132
20.768	35.009	43.212	47.226	58.207	64.530	73.077	78.511
26.024	44.595	57.582	62.029	66.188	85.534	95.244	101.793
37.343	65.486	88.073	111.730	134.728	140.721	145.086	157.181
45.052	82.611	113.479	136.084	142.217	149.788	163.484	181.923
66.531	123.124	172.125	207.133	236.697	226.476	243.673	266.879
86.070	161.639	230.892	285.233	321.917	306.358	326.643	357.301
126.912	240.486	346.903	441.769	516.414	512.661	493.687	532.642
168.286	319.104	466.914	602.497	712.450	732.320	696.225	722.149
247.222	476.924	701.782	914.945	1107.419	1238.654	1206.730	1133.332
332.160	637.465	947.616	1247.576	1514.012	1709.419	1718.218	1638.099
490.489	958.840	1419.959	1874.252	2313.677	2654.103	2868.657	2784.443
661.125	1278.225	1891.083	2512.221	3068.952	3584.995	4010.749	3961.326
986.331	1931.816	2845.872	3765.114	4628.650	5410.596	6159.360	6717.483
1330.006	2553.693	3785.896	4998.561	6102.017	7238.011	8368.013	9272.314
