L(m.1)	L(m.2)	L(m.3)	L(m.4)	L(m.5)	L(m.6)	L(m.7)	L(m.8)
0.054	0.204	0.051	0.239	0.060	0.086	0.103	0.177
3.453	13.084	3.256	15.297	3.831	5.531	6.589	11.310
3.435	3.505	2.693	6.204	4.250	8.399	7.152	8.947
4.825	22.672	5.542	15.729	5.863	7.295	8.004	8.413
5.333	12.468	11.656	14.134	9.286	13.729	11.651	11.418
7.278	44.775	25.611	37.324	22.454	28.462	29.199	26.754
10.005	32.139	24.739	32.090	26.955	34.127	31.384	44.839
15.014	109.271	52.606	98.795	72.477	53.178	53.682	56.027
25.121	66.701	63.349	74.442	85.078	64.592	66.066	78.636
25.778	141.085	93.077	139.701	106.772	97.730	104.722	124.021
14.892	84.499	83.966	94.778	99.840	97.515	98.783	135.532
2.126	137.703	66.200	123.036	84.713	77.158	84.592	152.623
34.265	129.071	120.123	130.713	133.426	136.855	136.548	207.338
23.254	208.010	95.983	160.096	116.969	116.403	125.736	224.095
33.517	134.192	137.981	145.658	141.846	189.396	204.391	442.526
161.801	412.184	248.746	330.307	335.986	391.963	463.339	981.096
237.725	372.995	363.778	369.787	462.421	605.661	688.548	1471.790
448.817	711.100	808.933	962.976	1130.028	1387.895	1501.681	2118.869
586.138	865.024	957.440	1127.209	1282.313	1414.555	1549.800	3006.950
722.258	1087.564	1132.270	1428.188	1665.976	1851.712	2046.447	4025.039
977.377	1385.266	1502.645	1919.478	2432.498	2892.778	3100.952	6017.428
1298.396	1619.691	1831.996	2377.243	3278.917	3834.219	4161.637	8022.475
1864.743	2173.071	2983.916	3919.441	5199.708	5938.684	6339.549	12112.857
2391.489	3413.638	3837.226	4893.113	7109.189	8195.882	8913.160	15979.057
3522.385	5276.179	5691.289	8109.871	11016.207	11478.942	15032.473	23908.335
4692.462	7511.364	9439.237	11967.336	14410.144	14766.671	19712.372	32123.689
6905.053	11584.213	16282.459	20260.577	21324.015	23379.125	27837.268	47770.779
9205.293	15838.233	21721.365	27686.148	29549.171	28874.477	36984.836	63717.619
13819.645	24340.471	33153.139	42267.842	46350.085	41822.862	53009.910	94876.515
18495.731	32814.096	45160.376	53191.793	64264.558	58539.396	71667.665	127637.240
