#m	30
#tau	8
#m	o(m)	L(m,1)	L(m,2)	L(m,3)	L(m,4)	L(m,5)	L(m,6)	L(m,7)	L(m,8)
1	0.000000422	0.000000001	0.000000015	0.000000024	0.000000023	0.000000058	0.00000005	0.000000044	0.000000047
64	0.000000422	0.000000001	0.000000154	0.00000024	0.00000023	0.000000587	0.000000502	0.000000447	0.000000474
128	0.000000422	0.000000001	0.00000017	0.000000246	0.000000239	0.000000652	0.00000058	0.000000496	0.000000492
256	0.000000422	0.000000004	0.000000195	0.00000027	0.000000266	0.000000685	0.000000643	0.00000053	0.000000522
512	0.000000422	0.000000033	0.000000244	0.000000378	0.000000345	0.000000749	0.000000651	0.000000648	0.000000621
1024	0.000000422	0.000000094	0.000000347	0.000000471	0.00000052	0.000000906	0.000000815	0.000000771	0.00000081
1536	0.000000422	0.000000259	0.00000046	0.000000616	0.000000778	0.000001001	0.000000979	0.000000953	0.000001041
2048	0.000000422	0.000000273	0.000000577	0.000000777	0.000000934	0.000001179	0.000001232	0.000001185	0.000001227
3072	0.000000422	0.000000377	0.000000838	0.000001092	0.000001383	0.000001632	0.000001657	0.000001683	0.000001707
4096	0.000000422	0.000000503	0.000001459	0.000002023	0.000002388	0.000003015	0.000003002	0.000002966	0.000003076
5120	0.000000422	0.000000626	0.000001694	0.000002228	0.000002679	0.000003453	0.000003326	0.000003413	0.000003504
6144	0.000000422	0.000000742	0.000001968	0.000002581	0.000003135	0.000003794	0.000003791	0.000003835	0.000003987
7168	0.000000422	0.000000896	0.000002146	0.000002909	0.000003549	0.000004211	0.000004284	0.000004325	0.000004515
8192	0.000000422	0.000000978	0.000002408	0.000003179	0.000003917	0.000004681	0.000004706	0.000004846	0.000005016
16384	0.000000422	0.000002145	0.000004197	0.000005837	0.000007391	0.000008672	0.000008735	0.000009051	0.000009695
32768	0.000000422	0.000004187	0.000007784	0.000011352	0.00001473	0.000017637	0.000017762	0.000018525	0.000019751
49152	0.000000712	0.000006342	0.000011857	0.000017976	0.000022125	0.000025894	0.000026131	0.000026582	0.000028602
65536	0.000000712	0.000008169	0.000015523	0.000022146	0.00002907	0.000034668	0.000034509	0.00003576	0.000036649
98304	0.000000712	0.000012432	0.000022885	0.000032991	0.000043097	0.000051016	0.000051583	0.000052851	0.000054718
131072	0.000000712	0.000018338	0.000030191	0.000044193	0.000057337	0.000067471	0.000069208	0.000070581	0.000072926
196608	0.000000712	0.000029294	0.00004566	0.000065285	0.000085709	0.000100769	0.000102101	0.000104887	0.000108413
262144	0.000000712	0.000028726	0.000060525	0.000087522	0.000113792	0.00013457	0.00013605	0.000140537	0.000144877
393216	0.000000712	0.000044081	0.000088742	0.000129108	0.000170576	0.000199932	0.000203336	0.000209107	0.000215016
524288	0.000000712	0.000056477	0.000120182	0.000173111	0.0002258	0.000266191	0.00027256	0.000278332	0.000286284
786432	0.000000712	0.000088642	0.000179539	0.000256273	0.000336966	0.000398531	0.000409208	0.000415794	0.000428512
1048576	0.000000712	0.000118309	0.000239348	0.000341868	0.000445763	0.000531341	0.000543146	0.000554945	0.000571292
1572864	0.000000712	0.000180209	0.00035683	0.000511907	0.000673804	0.000796454	0.000811186	0.000836437	0.000862637
2097152	0.000000712	0.000245541	0.000476764	0.000672915	0.000897508	0.001060114	0.001086393	0.001108401	0.001140795
3145728	0.000000712	0.000391975	0.000710846	0.001024838	0.001343776	0.001600566	0.001616911	0.001659369	0.001710668
4194304	0.000000712	0.000497284	0.000934858	0.001409844	0.001791422	0.002140739	0.00215632	0.002211663	0.002270936
