#m	30
#tau	8
#m	o(m)	L(m,1)	L(m,2)	L(m,3)	L(m,4)	L(m,5)	L(m,6)	L(m,7)	L(m,8)
1	0.000028829	0.000000054	0.000000204	0.000000051	0.000000239	0.00000006	0.000000086	0.000000103	0.000000177
64	0.000028829	0.000003453	0.000013084	0.000003256	0.000015297	0.000003831	0.000005531	0.000006589	0.00001131
128	0.000028829	0.000003435	0.000003505	0.000002693	0.000006204	0.00000425	0.000008399	0.000007152	0.000008947
256	0.000028829	0.000004825	0.000022672	0.000005542	0.000015729	0.000005863	0.000007295	0.000008004	0.000008413
512	0.000028829	0.000005333	0.000012468	0.000011656	0.000014134	0.000009286	0.000013729	0.000011651	0.000011418
1024	0.000028829	0.000007278	0.000044775	0.000025611	0.000037324	0.000022454	0.000028462	0.000029199	0.000026754
1536	0.000028829	0.000010005	0.000032139	0.000024739	0.00003209	0.000026955	0.000034127	0.000031384	0.000044839
2048	0.000028829	0.000015014	0.000109271	0.000052606	0.000098795	0.000072477	0.000053178	0.000053682	0.000056027
3072	0.000028829	0.000025121	0.000066701	0.000063349	0.000074442	0.000085078	0.000064592	0.000066066	0.000078636
4096	0.000028829	0.000025778	0.000141085	0.000093077	0.000139701	0.000106772	0.00009773	0.000104722	0.000124021
5120	0.000028829	0.000014892	0.000084499	0.000083966	0.000094778	0.00009984	0.000097515	0.000098783	0.000135532
6144	0.000028829	0.000002126	0.000137703	0.0000662	0.000123036	0.000084713	0.000077158	0.000084592	0.000152623
7168	0.000028829	0.000034265	0.000129071	0.000120123	0.000130713	0.000133426	0.000136855	0.000136548	0.000207338
8192	0.000028829	0.000023254	0.00020801	0.000095983	0.000160096	0.000116969	0.000116403	0.000125736	0.000224095
16384	0.000028829	0.000033517	0.000134192	0.000137981	0.000145658	0.000141846	0.000189396	0.000204391	0.000442526
32768	0.000028829	0.000161801	0.000412184	0.000248746	0.000330307	0.000335986	0.000391963	0.000463339	0.000981096
49152	0.000028829	0.000237725	0.000372995	0.000363778	0.000369787	0.000462421	0.000605661	0.000688548	0.00147179
65536	0.000028829	0.000448817	0.0007111	0.000808933	0.000962976	0.001130028	0.001387895	0.001501681	0.002118869
98304	0.000028829	0.000586138	0.000865024	0.00095744	0.001127209	0.001282313	0.001414555	0.0015498	0.00300695
131072	0.000028829	0.000722258	0.001087564	0.00113227	0.001428188	0.001665976	0.001851712	0.002046447	0.004025039
196608	0.00005427	0.000977377	0.001385266	0.001502645	0.001919478	0.002432498	0.002892778	0.003100952	0.006017428
262144	0.00005427	0.001298396	0.001619691	0.001831996	0.002377243	0.003278917	0.003834219	0.004161637	0.008022475
393216	0.00005427	0.001864743	0.002173071	0.002983916	0.003919441	0.005199708	0.005938684	0.006339549	0.012112857
524288	0.00005427	0.002391489	0.003413638	0.003837226	0.004893113	0.007109189	0.008195882	0.00891316	0.015979057
786432	0.00005427	0.003522385	0.005276179	0.005691289	0.008109871	0.011016207	0.011478942	0.015032473	0.023908335
1048576	0.00005427	0.004692462	0.007511364	0.009439237	0.011967336	0.014410144	0.014766671	0.019712372	0.032123689
1572864	0.00005427	0.006905053	0.011584213	0.016282459	0.020260577	0.021324015	0.023379125	0.027837268	0.047770779
2097152	0.00005427	0.009205293	0.015838233	0.021721365	0.027686148	0.029549171	0.028874477	0.036984836	0.063717619
3145728	0.00005427	0.013819645	0.024340471	0.033153139	0.042267842	0.046350085	0.041822862	0.05300991	0.094876515
4194304	0.00005427	0.018495731	0.032814096	0.045160376	0.053191793	0.064264558	0.058539396	0.071667665	0.12763724
