#m:	30
#tau_op:	12
#m	max	min	sum	prod	land	band	lor	bor	lxor	bxor	maxloc	minloc
1	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000
64	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000
128	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000	0.000000000002000
256	0.000000000008000	0.000000000008000	0.000000000008000	0.000000000008000	0.000000000008000	0.000000000008000	0.000000000008000	0.000000000008000	0.000000000008000	0.000000000008000	0.000000000008000	0.000000000008000
512	0.000000000066000	0.000000000066000	0.000000000066000	0.000000000066000	0.000000000066000	0.000000000066000	0.000000000066000	0.000000000066000	0.000000000066000	0.000000000066000	0.000000000066000	0.000000000066000
1024	0.000000000188000	0.000000000188000	0.000000000188000	0.000000000188000	0.000000000188000	0.000000000188000	0.000000000188000	0.000000000188000	0.000000000188000	0.000000000188000	0.000000000188000	0.000000000188000
1536	0.000000000518000	0.000000000518000	0.000000000518000	0.000000000518000	0.000000000518000	0.000000000518000	0.000000000518000	0.000000000518000	0.000000000518000	0.000000000518000	0.000000000518000	0.000000000518000
2048	0.000000000546000	0.000000000546000	0.000000000546000	0.000000000546000	0.000000000546000	0.000000000546000	0.000000000546000	0.000000000546000	0.000000000546000	0.000000000546000	0.000000000546000	0.000000000546000
3072	0.000000000754000	0.000000000754000	0.000000000754000	0.000000000754000	0.000000000754000	0.000000000754000	0.000000000754000	0.000000000754000	0.000000000754000	0.000000000754000	0.000000000754000	0.000000000754000
4096	0.000000001006000	0.000000001006000	0.000000001006000	0.000000001006000	0.000000001006000	0.000000001006000	0.000000001006000	0.000000001006000	0.000000001006000	0.000000001006000	0.000000001006000	0.000000001006000
5120	0.000000001252000	0.000000001252000	0.000000001252000	0.000000001252000	0.000000001252000	0.000000001252000	0.000000001252000	0.000000001252000	0.000000001252000	0.000000001252000	0.000000001252000	0.000000001252000
6144	0.000000001484000	0.000000001484000	0.000000001484000	0.000000001484000	0.000000001484000	0.000000001484000	0.000000001484000	0.000000001484000	0.000000001484000	0.000000001484000	0.000000001484000	0.000000001484000
7168	0.000000001792000	0.000000001792000	0.000000001792000	0.000000001792000	0.000000001792000	0.000000001792000	0.000000001792000	0.000000001792000	0.000000001792000	0.000000001792000	0.000000001792000	0.000000001792000
8192	0.000000001956000	0.000000001956000	0.000000001956000	0.000000001956000	0.000000001956000	0.000000001956000	0.000000001956000	0.000000001956000	0.000000001956000	0.000000001956000	0.000000001956000	0.000000001956000
16384	0.000000004290000	0.000000004290000	0.000000004290000	0.000000004290000	0.000000004290000	0.000000004290000	0.000000004290000	0.000000004290000	0.000000004290000	0.000000004290000	0.000000004290000	0.000000004290000
32768	0.000000008374000	0.000000008374000	0.000000008374000	0.000000008374000	0.000000008374000	0.000000008374000	0.000000008374000	0.000000008374000	0.000000008374000	0.000000008374000	0.000000008374000	0.000000008374000
49152	0.000000012684000	0.000000012684000	0.000000012684000	0.000000012684000	0.000000012684000	0.000000012684000	0.000000012684000	0.000000012684000	0.000000012684000	0.000000012684000	0.000000012684000	0.000000012684000
65536	0.000000016338000	0.000000016338000	0.000000016338000	0.000000016338000	0.000000016338000	0.000000016338000	0.000000016338000	0.000000016338000	0.000000016338000	0.000000016338000	0.000000016338000	0.000000016338000
98304	0.000000024864000	0.000000024864000	0.000000024864000	0.000000024864000	0.000000024864000	0.000000024864000	0.000000024864000	0.000000024864000	0.000000024864000	0.000000024864000	0.000000024864000	0.000000024864000
131072	0.000000036676000	0.000000036676000	0.000000036676000	0.000000036676000	0.000000036676000	0.000000036676000	0.000000036676000	0.000000036676000	0.000000036676000	0.000000036676000	0.000000036676000	0.000000036676000
196608	0.000000058588000	0.000000058588000	0.000000058588000	0.000000058588000	0.000000058588000	0.000000058588000	0.000000058588000	0.000000058588000	0.000000058588000	0.000000058588000	0.000000058588000	0.000000058588000
262144	0.000000057452000	0.000000057452000	0.000000057452000	0.000000057452000	0.000000057452000	0.000000057452000	0.000000057452000	0.000000057452000	0.000000057452000	0.000000057452000	0.000000057452000	0.000000057452000
393216	0.000000088162000	0.000000088162000	0.000000088162000	0.000000088162000	0.000000088162000	0.000000088162000	0.000000088162000	0.000000088162000	0.000000088162000	0.000000088162000	0.000000088162000	0.000000088162000
524288	0.000000112954000	0.000000112954000	0.000000112954000	0.000000112954000	0.000000112954000	0.000000112954000	0.000000112954000	0.000000112954000	0.000000112954000	0.000000112954000	0.000000112954000	0.000000112954000
786432	0.000000177284000	0.000000177284000	0.000000177284000	0.000000177284000	0.000000177284000	0.000000177284000	0.000000177284000	0.000000177284000	0.000000177284000	0.000000177284000	0.000000177284000	0.000000177284000
1048576	0.000000236618000	0.000000236618000	0.000000236618000	0.000000236618000	0.000000236618000	0.000000236618000	0.000000236618000	0.000000236618000	0.000000236618000	0.000000236618000	0.000000236618000	0.000000236618000
1572864	0.000000360418000	0.000000360418000	0.000000360418000	0.000000360418000	0.000000360418000	0.000000360418000	0.000000360418000	0.000000360418000	0.000000360418000	0.000000360418000	0.000000360418000	0.000000360418000
2097152	0.000000491082000	0.000000491082000	0.000000491082000	0.000000491082000	0.000000491082000	0.000000491082000	0.000000491082000	0.000000491082000	0.000000491082000	0.000000491082000	0.000000491082000	0.000000491082000
3145728	0.000000783950000	0.000000783950000	0.000000783950000	0.000000783950000	0.000000783950000	0.000000783950000	0.000000783950000	0.000000783950000	0.000000783950000	0.000000783950000	0.000000783950000	0.000000783950000
4194304	0.000000994568000	0.000000994568000	0.000000994568000	0.000000994568000	0.000000994568000	0.000000994568000	0.000000994568000	0.000000994568000	0.000000994568000	0.000000994568000	0.000000994568000	0.000000994568000
