L(m.1)	L(m.2)	L(m.3)	L(m.4)	L(m.5)	L(m.6)	L(m.7)	L(m.8)
0.001	0.015	0.024	0.023	0.058	0.050	0.044	0.047
0.001	0.154	0.240	0.230	0.587	0.502	0.447	0.474
0.001	0.170	0.246	0.239	0.652	0.580	0.496	0.492
0.004	0.195	0.270	0.266	0.685	0.643	0.530	0.522
0.033	0.244	0.378	0.345	0.749	0.651	0.648	0.621
0.094	0.347	0.471	0.520	0.906	0.815	0.771	0.810
0.259	0.460	0.616	0.778	1.001	0.979	0.953	1.041
0.273	0.577	0.777	0.934	1.179	1.232	1.185	1.227
0.377	0.838	1.092	1.383	1.632	1.657	1.683	1.707
0.503	1.459	2.023	2.388	3.015	3.002	2.966	3.076
0.626	1.694	2.228	2.679	3.453	3.326	3.413	3.504
0.742	1.968	2.581	3.135	3.794	3.791	3.835	3.987
0.896	2.146	2.909	3.549	4.211	4.284	4.325	4.515
0.978	2.408	3.179	3.917	4.681	4.706	4.846	5.016
2.145	4.197	5.837	7.391	8.672	8.735	9.051	9.695
4.187	7.784	11.352	14.730	17.637	17.762	18.525	19.751
6.342	11.857	17.976	22.125	25.894	26.131	26.582	28.602
8.169	15.523	22.146	29.070	34.668	34.509	35.760	36.649
12.432	22.885	32.991	43.097	51.016	51.583	52.851	54.718
18.338	30.191	44.193	57.337	67.471	69.208	70.581	72.926
29.294	45.660	65.285	85.709	100.769	102.101	104.887	108.413
28.726	60.525	87.522	113.792	134.570	136.050	140.537	144.877
44.081	88.742	129.108	170.576	199.932	203.336	209.107	215.016
56.477	120.182	173.111	225.800	266.191	272.560	278.332	286.284
88.642	179.539	256.273	336.966	398.531	409.208	415.794	428.512
118.309	239.348	341.868	445.763	531.341	543.146	554.945	571.292
180.209	356.830	511.907	673.804	796.454	811.186	836.437	862.637
245.541	476.764	672.915	897.508	1060.114	1086.393	1108.401	1140.795
391.975	710.846	1024.838	1343.776	1600.566	1616.911	1659.369	1710.668
497.284	934.858	1409.844	1791.422	2140.739	2156.320	2211.663	2270.936
