#m	30
#tau	20
#m	o(m)	L1(m,1)	L1(m,2)	L1(m,3)	L1(m,4)	L1(m,5)	L1(m,6)	L1(m,7)	L1(m,8)	L1(m,9)	L1(m,10)	L1(m,11)	L1(m,12)	L1(m,13)	L1(m,14)	L1(m,15)	L1(m,16)	L1(m,17)	L1(m,18)	L1(m,19)	L1(m,20)
1	0.000001498429	0.000000059178	0.000000059178	0.000000059178	0.000001777107	0.000000079776	0.000000162349	0.000000260108	0.000002691620	0.000000216787	0.000000284129	0.000000487975	0.000000692264	0.000000621116	0.000000880645	0.000001080113	0.000002139263	0.000001033686	0.000001218509	0.000001461459	0.000001793987
64	0.000001498429	0.000000017647	0.000000017647	0.000000017647	0.000000098952	0.000000104657	0.000000158297	0.000000247841	0.000000257881	0.000000291642	0.000000484220	0.000000539952	0.000000858961	0.000000809451	0.000001013635	0.000001322237	0.000001250679	0.000001189941	0.000001543815	0.000001642456	0.000001856720
128	0.000001498429	0.000000478846	0.000000419406	0.000000673944	0.000000579167	0.000000677116	0.000000660874	0.000000777734	0.000000654765	0.000000778917	0.000000916501	0.000001096875	0.000001290177	0.000001369347	0.000001527476	0.000001811327	0.000001713436	0.000001764927	0.000002060481	0.000002252777	0.000002451062
256	0.000001498429	0.000000632460	0.000000555026	0.000000739602	0.000000707821	0.000000820776	0.000000904032	0.000000947247	0.000000951448	0.000000986392	0.000001192316	0.000001182706	0.000001705731	0.000001720286	0.000002005649	0.000002224134	0.000002167969	0.000002128698	0.000002451423	0.000002591336	0.000002863076
512	0.000001498429	0.000000880607	0.000000815606	0.000000990671	0.000001023522	0.000001115141	0.000001273537	0.000001247672	0.000001266207	0.000001390566	0.000001474246	0.000001624901	0.000001976536	0.000002024876	0.000002329194	0.000002698407	0.000002543710	0.000002548420	0.000002950778	0.000003041781	0.000003274734
1024	0.000001498429	0.000001393471	0.000001324711	0.000001544676	0.000001584731	0.000001716785	0.000001845796	0.000001999483	0.000002105846	0.000002214382	0.000002414147	0.000002522657	0.000003174055	0.000002845391	0.000003505201	0.000003650706	0.000003808793	0.000003443395	0.000003896918	0.000004264919	0.000004622117
1536	0.000001498429	0.000001803671	0.000001798182	0.000002041861	0.000002183502	0.000002318556	0.000002499966	0.000002726186	0.000002915848	0.000003007632	0.000003038537	0.000003248256	0.000004074996	0.000003844885	0.000004236350	0.000004608980	0.000005054542	0.000004561979	0.000005075044	0.000005454459	0.000005641841
2048	0.000001498429	0.000002407672	0.000002402267	0.000002767691	0.000002845761	0.000003097131	0.000003317961	0.000003532663	0.000003797923	0.000003823853	0.000004181135	0.000004386558	0.000004949226	0.000004963808	0.000005782174	0.000006055431	0.000008508146	0.000006161647	0.000006730784	0.000007518990	0.000007776628
3072	0.000001498429	0.000002833511	0.000002961665	0.000003449671	0.000003727755	0.000003731852	0.000004027208	0.000004285432	0.000004944996	0.000004979702	0.000005332769	0.000005654489	0.000007236571	0.000006430851	0.000007596222	0.000007563542	0.000011019741	0.000007965208	0.000008717367	0.000009817227	0.000010110808
4096	0.000001498429	0.000003367720	0.000003749526	0.000004080377	0.000004384330	0.000004582876	0.000004853276	0.000005251646	0.000006260841	0.000006146393	0.000007271939	0.000007163036	0.000008151395	0.000008371498	0.000009884495	0.000009428363	0.000011644933	0.000009845038	0.000011428718	0.000012352717	0.000012015034
5120	0.000001498429	0.000003820261	0.000003854972	0.000004652686	0.000005138226	0.000005329337	0.000005620546	0.000006320926	0.000009073256	0.000007270075	0.000008680144	0.000008516035	0.000010608167	0.000009765356	0.000011935703	0.000011160636	0.000016309871	0.000012234938	0.000013793820	0.000015860403	0.000013574245
6144	0.000001498429	0.000004195022	0.000004564346	0.000005370341	0.000005844445	0.000005982066	0.000007237381	0.000007219157	0.000008929255	0.000008366674	0.000009608803	0.000010328644	0.000013290216	0.000011822385	0.000013577910	0.000013278433	0.000016543410	0.000014009384	0.000016581557	0.000017864985	0.000016428399
7168	0.000001498429	0.000004531552	0.000005067231	0.000005850411	0.000006552006	0.000006596912	0.000007420637	0.000008129280	0.000010085629	0.000009270895	0.000011379578	0.000011739051	0.000012437322	0.000013376136	0.000014857100	0.000015078956	0.000019121270	0.000015735109	0.000019261942	0.000019846486	0.000021256506
8192	0.000001498429	0.000004953541	0.000006074987	0.000006524402	0.000007268567	0.000007332762	0.000008984837	0.000008972168	0.000011531262	0.000010603179	0.000012926146	0.000013270766	0.000014103955	0.000015084946	0.000017150548	0.000016847565	0.000021346079	0.000017864494	0.000021255585	0.000022265928	0.000022545664
16384	0.000001498429	0.000007636766	0.000011756761	0.000013949452	0.000016881946	0.000019534046	0.000023085848	0.000027781619	0.000030996370	0.000031124748	0.000034954340	0.000038323547	0.000041751127	0.000044469576	0.000050680191	0.000052593808	0.000058314714	0.000048716309	0.000057029989	0.000060435245	0.000063007760
32768	0.000001498429	0.000012210725	0.000019893198	0.000026307120	0.000033947891	0.000036752459	0.000042978203	0.000050625469	0.000058605710	0.000064224367	0.000065514482	0.000071404011	0.000077755736	0.000084739502	0.000098954680	0.000111213062	0.000109293151	0.000092630462	0.000110245185	0.000113664312	0.000127242828
49152	0.000001498429	0.000016520113	0.000027632076	0.000039051467	0.000044581270	0.000054136389	0.000066122625	0.000081191976	0.000089422441	0.000093847182	0.000099486254	0.000109995022	0.000119687672	0.000122568897	0.000150956356	0.000157225217	0.000151773746	0.000138898771	0.000168973376	0.000167868476	0.000185523785
