#m	30
#tau	20
#m	o(m)	L1(m,1)	L1(m,2)	L1(m,3)	L1(m,4)	L1(m,5)	L1(m,6)	L1(m,7)	L1(m,8)	L1(m,9)	L1(m,10)	L1(m,11)	L1(m,12)	L1(m,13)	L1(m,14)	L1(m,15)	L1(m,16)	L1(m,17)	L1(m,18)	L1(m,19)	L1(m,20)
1	0.000028436810	0.000000000000	0.000034790216	0.000018908460	0.000012258271	0.000015360480	0.000018012536	0.000020613486	0.000010693448	0.000017629720	0.000019408848	0.000033839352	0.000024206740	0.000020001027	0.000024513126	0.000031837198	0.000015156377	0.000020471804	0.000020896872	0.000025356634	0.000021529661
64	0.000028436810	0.000000000000	0.000023648501	0.000019971115	0.000016531799	0.000027547350	0.000014491343	0.000027944982	0.000019322785	0.000019532668	0.000017413000	0.000018831912	0.000015412373	0.000025657025	0.000017513579	0.000019531173	0.000036847097	0.000017923741	0.000025873857	0.000029851767	0.000022871948
128	0.000028436810	0.000000000000	0.000023760522	0.000019060661	0.000030725198	0.000019142730	0.000022064346	0.000021004699	0.000023236845	0.000026128864	0.000024406553	0.000024042756	0.000022835658	0.000030809213	0.000032075105	0.000029652291	0.000029212618	0.000022981526	0.000026942766	0.000027955119	0.000026446637
256	0.000028436810	0.000022183258	0.000023860193	0.000019577084	0.000026001278	0.000021615179	0.000027549389	0.000018431134	0.000027311713	0.000018738805	0.000028076775	0.000026486616	0.000029786358	0.000028331839	0.000028307002	0.000031616249	0.000033203143	0.000029391469	0.000036913956	0.000037544255	0.000035130705
512	0.000028436810	0.000027682373	0.000029454257	0.000030960366	0.000026710471	0.000036807919	0.000032023276	0.000030344096	0.000032604797	0.000031691517	0.000034670179	0.000036337855	0.000037752202	0.000042561805	0.000043003739	0.000046433895	0.000051178768	0.000051997216	0.000056516752	0.000056868100	0.000062014913
1024	0.000028436810	0.000059244013	0.000050968627	0.000044589482	0.000060169324	0.000054942565	0.000053151376	0.000055846370	0.000061302837	0.000059496587	0.000061662778	0.000068279812	0.000076584461	0.000081048962	0.000085806601	0.000087687292	0.000092721921	0.000098117190	0.000102090596	0.000112410840	0.000117714571
1536	0.000028436810	0.000054001157	0.000051764280	0.000049026495	0.000062140636	0.000065200589	0.000081992285	0.000078620379	0.000084974759	0.000097703616	0.000105261781	0.000121499910	0.000125170662	0.000134670709	0.000137266581	0.000143434447	0.000142088282	0.000154840889	0.000157771651	0.000184546934	0.000193988843
2048	0.000028436810	0.000056316026	0.000120761762	0.000133552614	0.000112123273	0.000111692958	0.000125305722	0.000107709429	0.000125183994	0.000126523729	0.000135633512	0.000163442742	0.000174219871	0.000188260627	0.000192353516	0.000209471676	0.000190372170	0.000214706218	0.000217589929	0.000239662384	0.000252498205
3072	0.000028436810	0.000075196469	0.000103125636	0.000136605217	0.000109433509	0.000120935153	0.000131562704	0.000154542044	0.000153550045	0.000194325057	0.000195897399	0.000216461461	0.000253379314	0.000255314893	0.000269581472	0.000303396834	0.000295957129	0.000319979961	0.000326565421	0.000370330164	0.000383914006
4096	0.000028436810	0.000116368179	0.000170934595	0.000160237922	0.000173812440	0.000188663806	0.000207386318	0.000197300958	0.000219591267	0.000240458408	0.000261394136	0.000291050422	0.000300925836	0.000338018350	0.000350678773	0.000372533021	0.000363669946	0.000415080734	0.000427609510	0.000473782891	0.000490690767
