#m	30											
#ops	12											
#m	max	min	sum	prod	land	band	lor	bor	lxor	bxor	maxloc	minloc
1	0.000000001	0.000000001	0.000000015	0.000000024	0.000000015	0.000000024	0.000000015	0.000000024	0.000000015	0.000000024	0.000000015	0.000000024
64	0.000000001	0.000000001	0.000000154	0.00000024	0.000000154	0.00000024	0.000000154	0.00000024	0.000000154	0.00000024	0.000000154	0.00000024
128	0.000000001	0.000000001	0.00000017	0.000000246	0.00000017	0.000000246	0.00000017	0.000000246	0.00000017	0.000000246	0.00000017	0.000000246
256	0.000000004	0.000000004	0.000000195	0.00000027	0.000000195	0.00000027	0.000000195	0.00000027	0.000000195	0.00000027	0.000000195	0.00000027
512	0.000000033	0.000000033	0.000000244	0.000000378	0.000000244	0.000000378	0.000000244	0.000000378	0.000000244	0.000000378	0.000000244	0.000000378
1024	0.000000094	0.000000094	0.000000347	0.000000471	0.000000347	0.000000471	0.000000347	0.000000471	0.000000347	0.000000471	0.000000347	0.000000471
1536	0.000000259	0.000000259	0.00000046	0.000000616	0.00000046	0.000000616	0.00000046	0.000000616	0.00000046	0.000000616	0.00000046	0.000000616
2048	0.000000273	0.000000273	0.000000577	0.000000777	0.000000577	0.000000777	0.000000577	0.000000777	0.000000577	0.000000777	0.000000577	0.000000777
3072	0.000000377	0.000000377	0.000000838	0.000001092	0.000000838	0.000001092	0.000000838	0.000001092	0.000000838	0.000001092	0.000000838	0.000001092
4096	0.000000503	0.000000503	0.000001459	0.000002023	0.000001459	0.000002023	0.000001459	0.000002023	0.000001459	0.000002023	0.000001459	0.000002023
5120	0.000000626	0.000000626	0.000001694	0.000002228	0.000001694	0.000002228	0.000001694	0.000002228	0.000001694	0.000002228	0.000001694	0.000002228
6144	0.000000742	0.000000742	0.000001968	0.000002581	0.000001968	0.000002581	0.000001968	0.000002581	0.000001968	0.000002581	0.000001968	0.000002581
7168	0.000000896	0.000000896	0.000002146	0.000002909	0.000002146	0.000002909	0.000002146	0.000002909	0.000002146	0.000002909	0.000002146	0.000002909
8192	0.000000978	0.000000978	0.000002408	0.000003179	0.000002408	0.000003179	0.000002408	0.000003179	0.000002408	0.000003179	0.000002408	0.000003179
16384	0.000002145	0.000002145	0.000004197	0.000005837	0.000004197	0.000005837	0.000004197	0.000005837	0.000004197	0.000005837	0.000004197	0.000005837
32768	0.000004187	0.000004187	0.000007784	0.000011352	0.000007784	0.000011352	0.000007784	0.000011352	0.000007784	0.000011352	0.000007784	0.000011352
49152	0.000006342	0.000006342	0.000011857	0.000017976	0.000011857	0.000017976	0.000011857	0.000017976	0.000011857	0.000017976	0.000011857	0.000017976
65536	0.000008169	0.000008169	0.000015523	0.000022146	0.000015523	0.000022146	0.000015523	0.000022146	0.000015523	0.000022146	0.000015523	0.000022146
98304	0.000012432	0.000012432	0.000022885	0.000032991	0.000022885	0.000032991	0.000022885	0.000032991	0.000022885	0.000032991	0.000022885	0.000032991
131072	0.000018338	0.000018338	0.000030191	0.000044193	0.000030191	0.000044193	0.000030191	0.000044193	0.000030191	0.000044193	0.000030191	0.000044193
196608	0.000029294	0.000029294	0.00004566	0.000065285	0.00004566	0.000065285	0.00004566	0.000065285	0.00004566	0.000065285	0.00004566	0.000065285
262144	0.000028726	0.000028726	0.000060525	0.000087522	0.000060525	0.000087522	0.000060525	0.000087522	0.000060525	0.000087522	0.000060525	0.000087522
393216	0.000044081	0.000044081	0.000088742	0.000129108	0.000088742	0.000129108	0.000088742	0.000129108	0.000088742	0.000129108	0.000088742	0.000129108
524288	0.000056477	0.000056477	0.000120182	0.000173111	0.000120182	0.000173111	0.000120182	0.000173111	0.000120182	0.000173111	0.000120182	0.000173111
786432	0.000088642	0.000088642	0.000179539	0.000256273	0.000179539	0.000256273	0.000179539	0.000256273	0.000179539	0.000256273	0.000179539	0.000256273
1048576	0.000118309	0.000118309	0.000239348	0.000341868	0.000239348	0.000341868	0.000239348	0.000341868	0.000239348	0.000341868	0.000239348	0.000341868
1572864	0.000180209	0.000180209	0.00035683	0.000511907	0.00035683	0.000511907	0.00035683	0.000511907	0.00035683	0.000511907	0.00035683	0.000511907
2097152	0.000245541	0.000245541	0.000476764	0.000672915	0.000476764	0.000672915	0.000476764	0.000672915	0.000476764	0.000672915	0.000476764	0.000672915
3145728	0.000391975	0.000391975	0.000710846	0.001024838	0.000710846	0.001024838	0.000710846	0.001024838	0.000710846	0.001024838	0.000710846	0.001024838
4194304	0.000497284	0.000497284	0.000934858	0.001409844	0.000934858	0.001409844	0.000934858	0.001409844	0.000934858	0.001409844	0.000934858	0.001409844
