#m	30
#tau	8
#m	o(m)	L(m, 1)	L(m, 2)	L(m, 3)	L(m, 4)	L(m, 5)	L(m, 6)	L(m, 7)	L(m, 8)
1	0.000001698000	0.000001722600	0.000001786100	0.000001837100	0.000001881050	0.000001948050	0.000001896750	0.000001950150	0.000001987200
64	0.000001634200	0.000001939550	0.000002003550	0.000002034350	0.000002130250	0.000002040450	0.000002107350	0.000002255100	0.000002204150
128	0.000001680250	0.000002592600	0.000002726400	0.000002819050	0.000002877450	0.000002905450	0.000002943850	0.000002892150	0.000002877600
256	0.000001636450	0.000002758450	0.000002857300	0.000002981850	0.000003041000	0.000003069400	0.000003075650	0.000003127200	0.000003142950
512	0.000001701200	0.000003100500	0.000003229300	0.000003374000	0.000003624450	0.000003451850	0.000003698650	0.000003843250	0.000003940500
1024	0.000001683000	0.000003908000	0.000004088350	0.000004293350	0.000004500000	0.000004449250	0.000004679300	0.000004896350	0.000004917950
1536	0.000001655050	0.000004497700	0.000004642900	0.000005073850	0.000005064300	0.000005371450	0.000006067550	0.000006110450	0.000006192000
2048	0.000001671500	0.000005137800	0.000005793500	0.000005686250	0.000006391700	0.000006584950	0.000006777700	0.000007223500	0.000007145900
3072	0.000001637500	0.000005485150	0.000005889600	0.000006546150	0.000007498600	0.000007759900	0.000008116000	0.000008471850	0.000008008800
4096	0.000001641000	0.000006286850	0.000007279450	0.000007493100	0.000008474700	0.000009380750	0.000009936150	0.000009997050	0.000008782300
5120	0.000001679250	0.000006739700	0.000008027200	0.000008119450	0.000009683850	0.000010538650	0.000011276100	0.000012204900	0.000009767750
6144	0.000001645850	0.000007381550	0.000008940650	0.000009289700	0.000011039500	0.000012254500	0.000013090900	0.000012430900	0.000010856000
7168	0.000001649950	0.000007708400	0.000009719500	0.000010204650	0.000012345000	0.000013581350	0.000013200100	0.000012883000	0.000012564650
8192	0.000001680000	0.000008477700	0.000010018150	0.000011319550	0.000013468200	0.000015031800	0.000014285350	0.000013542050	0.000013528050
16384	0.000001682500	0.000011955450	0.000014179500	0.000019312700	0.000023876850	0.000029093550	0.000032599700	0.000035663950	0.000036664450
32768	0.000001671700	0.000017711850	0.000022176450	0.000034798800	0.000042896150	0.000054131000	0.000062759850	0.000069185250	0.000078294100
49152	0.000001616400	0.000023211550	0.000032794100	0.000050228000	0.000058385250	0.000078284150	0.000091527950	0.000098300300	0.000109321650
65536	0.000001658150	0.000028921900	0.000035869100	0.000066069300	0.000078055500	0.000105952700	0.000119539750	0.000133511500	0.000145488700
98304	0.000001658850	0.000039702450	0.000061661100	0.000090143800	0.000118301550	0.000146696500	0.000172679950	0.000191434500	0.000210100000
131072	0.000001671950	0.000051196500	0.000084933950	0.000116807400	0.000141746000	0.000183670900	0.000205815000	0.000224059550	0.000262306150
196608	0.000001666000	0.000073194700	0.000128078550	0.000187809050	0.000213348400	0.000293997800	0.000335197000	0.000384230950	0.000414491450
262144	0.000001625400	0.000095391050	0.000173470650	0.000242077850	0.000315042250	0.000401513200	0.000463881750	0.000527149050	0.000579035500
393216	0.000001669600	0.000140002800	0.000261601600	0.000381291300	0.000477690800	0.000615521600	0.000719898100	0.000833233700	0.000941306750
524288	0.000001664450	0.000184092350	0.000348426850	0.000504312800	0.000651600700	0.000830962300	0.000973680800	0.001137911850	0.001347875350
786432	0.000001663100	0.000273133200	0.000530047500	0.000771545600	0.001010902300	0.001260438050	0.001515374100	0.001775435350	0.002087577150
1048576	0.000001661900	0.000361860500	0.000704800850	0.001034742500	0.001321429450	0.001758080050	0.002097680550	0.002461532350	0.002847748100
1572864	0.000001659950	0.000540322700	0.001060492100	0.001550220450	0.002051467700	0.002612673950	0.003124382350	0.003682088100	0.004302164650
2097152	0.000001658900	0.000717494900	0.001414289000	0.002066173800	0.002769384300	0.003575178200	0.004257855450	0.005008665150	0.005739475600
3145728	0.000001664450	0.001073686200	0.002127814200	0.003216872700	0.004314433350	0.005389941400	0.006406077200	0.007533701050	0.008690373950
4194304	0.000001633550	0.001429286850	0.002835182300	0.004391514750	0.005833987500	0.007215368700	0.008567009400	0.010066251600	0.011682215550
