#m	30
#tau	8
#m	o(m)	L(m, 1)	L(m, 2)	L(m, 3)	L(m, 4)	L(m, 5)	L(m, 6)	L(m, 7)	L(m, 8)
1	0.000000297700	0.000000187250	0.000000101350	0.000000104850	0.000000176750	0.000000538650	0.000000366150	0.000000587600	0.000000266100
64	0.000000274550	0.000000212175	0.000000135525	0.000000145675	0.000000187525	0.000000535425	0.000000389325	0.000000574175	0.000000438375
128	0.000000276650	0.000000290900	0.000000281175	0.000000131425	0.000000211275	0.000000421825	0.000000405175	0.000000434825	0.000000403075
256	0.000000280750	0.000000232000	0.000000159625	0.000000174025	0.000000250325	0.000000682575	0.000000612225	0.000000605325	0.000000518425
512	0.000000274400	0.000000295950	0.000000346100	0.000000355000	0.000000443350	0.000000688550	0.000000672950	0.000000774200	0.000000629250
1024	0.000000272300	0.000000365850	0.000000424050	0.000000405250	0.000000486300	0.000000785600	0.000000814000	0.000000804350	0.000000683700
1536	0.000000264750	0.000000402350	0.000000454575	0.000000431475	0.000000437725	0.000000874625	0.000000834625	0.000000883625	0.000000961625
2048	0.000000293750	0.000000435775	0.000000499475	0.000000527775	0.000000521425	0.000000887925	0.000000925175	0.000000940675	0.000000805325
3072	0.000000302950	0.000000629975	0.000000552375	0.000000633325	0.000000704625	0.000001108475	0.000001196575	0.000001069775	0.000000950575
4096	0.000000285650	0.000001602350	0.000001838325	0.000002034675	0.000001960975	0.000002771425	0.000002616225	0.000002548525	0.000002675875
5120	0.000000283200	0.000001658150	0.000001909450	0.000002082600	0.000002294300	0.000002913000	0.000002680950	0.000002750500	0.000002704100
6144	0.000000274600	0.000001705475	0.000002523700	0.000002271300	0.000002228650	0.000003016050	0.000002920600	0.000002874300	0.000002992300
7168	0.000000438150	0.000001857125	0.000002053175	0.000002180225	0.000002222725	0.000003075725	0.000002941875	0.000003084225	0.000002860625
8192	0.000000277700	0.000001811000	0.000002196200	0.000002313750	0.000002470150	0.000003399450	0.000003221450	0.000003388450	0.000003068350
16384	0.000000295550	0.000002691125	0.000002905275	0.000003138825	0.000003450225	0.000005048925	0.000004537275	0.000004789175	0.000004709375
32768	0.000000424400	0.000004155475	0.000004617450	0.000004658700	0.000005309000	0.000007700700	0.000007953150	0.000007153900	0.000007076450
49152	0.000000285050	0.000005522275	0.000005791425	0.000006523275	0.000007618675	0.000011287025	0.000010713725	0.000010504975	0.000010011775
65536	0.000000295950	0.000006096425	0.000008224575	0.000008525475	0.000009791275	0.000013625025	0.000013659875	0.000013191625	0.000012523725
98304	0.000000284400	0.000008223725	0.000011423650	0.000012547100	0.000013846800	0.000019851050	0.000018591650	0.000019145850	0.000018310550
131072	0.000000261550	0.000010607375	0.000014884925	0.000015369425	0.000018533025	0.000023953875	0.000025404175	0.000025692275	0.000024391425
196608	0.000000262100	0.000015317225	0.000021228300	0.000024114900	0.000027430150	0.000036501950	0.000038679300	0.000038042200	0.000037181800
262144	0.000000283500	0.000020235700	0.000028690550	0.000031504650	0.000037472600	0.000053350550	0.000051761800	0.000052882900	0.000046720800
393216	0.000000452250	0.000029636225	0.000040023625	0.000046573825	0.000056241025	0.000073739375	0.000075212475	0.000074423275	0.000072470825
524288	0.000000280150	0.000038773625	0.000053019075	0.000063998275	0.000072598825	0.000099711325	0.000102893575	0.000098834775	0.000093435125
786432	0.000000277450	0.000057293500	0.000077702125	0.000090818525	0.000109552075	0.000161515025	0.000156785075	0.000153822725	0.000142809825
1048576	0.000000272950	0.000075492275	0.000101670525	0.000121608675	0.000142430725	0.000205842425	0.000211216725	0.000202885575	0.000190941775
1572864	0.000000281400	0.000111951400	0.000152031400	0.000179245150	0.000215536200	0.000296414650	0.000301262250	0.000302602950	0.000288663200
2097152	0.000000265050	0.000149180850	0.000201673825	0.000232441625	0.000309465275	0.000388854925	0.000411255725	0.000397836225	0.000391075825
3145728	0.000000282750	0.000222578900	0.000299294225	0.000371436475	0.000557771775	0.000801044375	0.000792832225	0.000797194075	0.000713807925
4194304	0.000000288350	0.000313522475	0.000401235325	0.000595083775	0.000921604725	0.001201585375	0.001225885575	0.001246018725	0.001281660075
