#m	30
#tau	8
#m	o(m)	L(m, 1)	L(m, 2)	L(m, 3)	L(m, 4)	L(m, 5)	L(m, 6)	L(m, 7)	L(m, 8)
1	0.000137339280	0.000027568123	0.000031766584	0.000032470509	0.000031902121	0.000034967680	0.000034811473	0.000033844079	0.000037304397
64	0.000075893370	0.000032870372	0.000032361984	0.000033421544	0.000033288552	0.000034668075	0.000035794280	0.000035768752	0.000037396765
128	0.000134867766	0.000033692916	0.000025592099	0.000027055261	0.000033678983	0.000034563304	0.000034429841	0.000034289670	0.000037585712
256	0.000132153693	0.000027081556	0.000033836812	0.000032949960	0.000033902755	0.000037255132	0.000036155262	0.000036586303	0.000039537820
512	0.000075312911	0.000034244540	0.000035803830	0.000034401201	0.000037912126	0.000038040425	0.000040201283	0.000040670574	0.000044096662
1024	0.000132524365	0.000027488764	0.000032718042	0.000035102466	0.000045378975	0.000045806112	0.000045795265	0.000045947703	0.000050679422
1536	0.000129969301	0.000047264065	0.000047904287	0.000051081216	0.000054573534	0.000057741294	0.000057545543	0.000056231199	0.000062210527
2048	0.000075630025	0.000052377756	0.000054793496	0.000055848476	0.000060207941	0.000060570975	0.000064295357	0.000062517765	0.000069806273
3072	0.000132355520	0.000036166746	0.000047773951	0.000048977577	0.000068305796	0.000067968390	0.000069693013	0.000068857806	0.000074588316
4096	0.000134540955	0.000057117440	0.000060278598	0.000069263850	0.000067676908	0.000075482057	0.000087313831	0.000074262724	0.000083980412
5120	0.000074753916	0.000064154848	0.000066996232	0.000072931837	0.000076974463	0.000083480861	0.000091370894	0.000092946968	0.000098125063
6144	0.000133950947	0.000044719831	0.000059795974	0.000061090421	0.000083624607	0.000083786842	0.000083660560	0.000088301792	0.000095839647
7168	0.000128903765	0.000072161182	0.000075185659	0.000083585368	0.000079680270	0.000098777202	0.000098071526	0.000098780306	0.000111819764
8192	0.000075608407	0.000078616335	0.000078898240	0.000084971915	0.000095852368	0.000105893864	0.000116556666	0.000113324993	0.000116924504
16384	0.000134289406	0.000038745718	0.000103284792	0.000114503495	0.000185388949	0.000170951932	0.000189865561	0.000186130737	0.000209061549
32768	0.000132507752	0.000252424215	0.000220183540	0.000254987650	0.000269358148	0.000329255049	0.000331197665	0.000336601025	0.000381345999
49152	0.000076574486	0.000265287355	0.000264161902	0.000307747460	0.000394214798	0.000459034996	0.000513122805	0.000513989970	0.000547893377
65536	0.000132800690	0.000114542492	0.000127356762	0.000136454597	0.000183259727	0.000194104199	0.000189503044	0.000200847490	0.000223835048
98304	0.000132860743	0.000145115356	0.000159647199	0.000178599222	0.000245307308	0.000254593954	0.000271108565	0.000280586247	0.000296148898
131072	0.000075417597	0.000165465830	0.000185874779	0.000210878724	0.000283748692	0.000304575079	0.000325076241	0.000471097207	0.000626304113
196608	0.000134506432	0.000208090129	0.000235653924	0.000273160291	0.000629910393	0.000633373811	0.000875112634	0.000705709957	0.000806116331
262144	0.000131508839	0.000250638991	0.000282186686	0.000335434871	0.000551270385	0.000622998986	0.000905940774	0.000710935616	0.000744472977
393216	0.000076053932	0.000488729775	0.000690578559	0.000511807897	0.000753315567	0.000891295777	0.000925066643	0.000918242948	0.000993137874
524288	0.000134282853	0.000438245895	0.000545016198	0.000765800491	0.000964703646	0.001162076727	0.001211534660	0.001157779435	0.001247562102
786432	0.000131989481	0.000664623121	0.000834131927	0.000908995341	0.001458901862	0.001550050315	0.001593646346	0.001721595604	0.001937330300
1048576	0.000076080644	0.000848401746	0.001106644418	0.001213201640	0.001819469262	0.002006812315	0.002141435513	0.002418132007	0.002529721639
1572864	0.000133368288	0.001233967076	0.001512774671	0.001739639717	0.002733930870	0.003008927698	0.003030634387	0.003432845794	0.003819792293
2097152	0.000129337262	0.001615721598	0.001930231451	0.002360126922	0.003764007562	0.004023918628	0.004077155694	0.004469502408	0.004862794294
3145728	0.000076367596	0.002349762941	0.002918668050	0.003634314029	0.005508520559	0.005542542194	0.005979567710	0.006663070869	0.007156014908
4194304	0.000132923238	0.003075734354	0.003874404238	0.004706636073	0.007068037826	0.007464049764	0.007817898798	0.008769768108	0.009583488762
